parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0
470.58286,9.336229,1339.482,29167.992,97.78729,17120.504,1.1776061,121.197365,0.3368232,0.38862348,0.48378456,0.070915386,0.005453293,0.00022313673,0.0036483195,0.001169343,8.764469e-05,166.86324,44.778103,231.5194,37.638557,0.8137218,69.42336,60.40444,46.69934,0.002690879,86.74149,1.1739202,5.3241568,0.06935267
361.93723,10.448134,1254.368,33230.758,106.715485,24986.785,2.0224771,131.05469,0.34108186,0.40763327,0.5230736,0.061000865,0.004241001,-1.6793634e-05,0.004138751,0.0009776412,0.00014562074,178.32527,49.056435,222.1186,16.05451,0.8332406,51.46332,57.511276,67.23681,0.004201389,71.347855,0.584454,5.1291046,0.12623475
545.8916,10.3864355,1222.3177,20619.736,221.96954,20869.402,2.1260364,119.594025,0.3251246,0.34237316,0.4756425,0.06946222,0.0046811807,0.00014620335,0.0033831722,0.0010034912,7.137663e-05,149.72626,26.094393,208.75615,8.745919,0.8886461,51.758186,71.99387,47.621754,0.0024720642,87.08603,0.8967764,7.226964,0.1053964
420.2993,10.587242,917.1337,36684.984,-84.89565,4133.868,1.1575814,134.89116,0.38314065,0.29174408,0.5201128,0.07189128,0.0032038454,0.00019014292,0.0034222081,-0.00036420338,4.7600093e-05,158.66995,24.896526,219.50572,19.222599,0.8716184,60.73087,58.343716,52.85045,0.0005151344,70.771484,0.5537336,3.4918885,-0.021721644
636.9565,11.241727,1148.3837,24616.738,-342.52246,20755.562,1.805721,110.00775,0.30489826,0.40784878,0.5240319,0.07769611,0.004789683,0.00014981022,0.002921772,-2.7869297e-05,-9.104302e-05,186.73482,53.23041,240.91652,10.527974,0.8208475,55.669044,46.624653,63.483036,0.0016918551,70.54304,0.6227797,9.761501,0.114380024
139.04877,11.635364,1293.5408,13928.465,-131.41882,18987.406,2.1688416,125.127144,0.36628455,0.2995303,0.5452003,0.068711855,0.00409294,0.00028388185,0.003303641,0.0014933798,9.0428206e-05,163.30426,46.780296,279.45374,28.318909,0.81038034,55.847088,64.54125,54.249645,0.0019097418,90.38761,1.4306812,7.56804,0.12330116
290.82257,10.478739,1341.5208,13144.348,66.13654,11707.558,1.5274397,111.56685,0.33883187,0.38982034,0.54735905,0.07701701,0.0039559985,0.00022851862,0.0020403336,0.0014312718,5.3035536e-05,156.33734,40.892635,264.98978,35.92217,0.78705543,61.22694,62.098648,36.90716,0.0035086619,66.740135,0.07699773,3.7990086,0.21683846
618.2865,8.811921,1120.9858,23431.646,-11.817365,9858.943,1.7557148,115.30892,0.32174274,0.35528335,0.5062778,0.06766449,0.005301551,0.00026951244,0.002635783,0.00068911485,-3.4560602e-05,150.59796,35.43595,225.6195,44.290638,0.83280295,66.574394,46.88697,58.50561,0.00311917,72.45565,1.1521971,8.136195,0.093432486
116.3141,10.252742,863.74445,9320.644,-61.182934,11226.585,2.4023514,114.27375,0.27225837,0.2908994,0.48009774,0.07923971,0.0029069567,0.00022636142,0.005691915,4.2430765e-05,0.00013395175,188.25287,40.762455,234.27594,57.086067,0.89824736,69.87868,69.81243,42.43706,0.003052992,68.1657,1.4830159,7.396509,0.064936034
499.6221,10.517048,1151.2296,34046.742,353.8882,23103.102,1.6609484,120.01138,0.37598404,0.3377302,0.4245406,0.06562678,0.0062000058,0.00010285946,0.0024382875,8.916051e-05,-8.8732886e-05,183.31003,44.86271,245.375,14.340521,0.82458174,44.26054,54.866096,50.332798,0.0035960737,89.814514,1.0299463,6.0725718,-0.10559658
