pft,sw,par,ta,vpd,wds,lai,sza
4,396.62,794.7650000000001,0.7755000000000001,0.3429999999999999,3.7065,0.5,69.48640920325832
4,378.715,756.04,3.2525,0.3329999999999999,3.7205,0.4,70.21126481488369
4,505.875,1006.3,9.8625,0.8085,2.516,1.1,62.26267118414863
4,456.555,933.295,13.5195,0.943,4.4,1.4,64.94494076430117
4,0.765,1.955,-0.466,0.063,1.5265,0.0,90.0
4,-0.225,-0.015,-21.7205,0.044,3.111,0.3,90.0
4,175.435,375.43,-12.545,0.0535,8.6955,0.4,73.00921887582712
4,-0.12,-0.005,-12.876,0.028,1.42,0.4,90.0
4,400.07,733.14,-21.9145,0.0475,2.782,0.3,65.78978603660282
4,102.82,210.385,-15.357,0.0285,3.5835,0.5,73.19730876624784
1,569.3599999999999,1127.64,25.4705,2.05,1.178,1.0,58.54807997720466
1,267.9,589.09,8.461,0.173,5.126,2.4000000000000004,47.45371854855162
1,0.075,-0.01,13.093,0.8235,2.0805,1.1,90.0
1,355.15,762.875,17.0415,0.6415,3.274,1.0,39.25454018599781
1,317.78,652.605,11.9635,0.1644999999999999,2.8105,1.9,64.4119600710464
1,387.32,786.79,25.8955,2.4085,5.2555,2.2,60.84102665896039
1,576.9649999999999,1180.19,19.346,1.0295,7.2405,0.9,52.18170706260216
1,87.785,209.95,20.758000000000003,1.1255,1.654,1.7000000000000002,40.881176696971664
1,411.1,800.255,19.2295,1.1429999999999998,2.4075,1.6,66.20018133220591
1,198.165,445.86,13.879,0.573,1.9845,1.6,44.74444417090354
1,433.355,856.8050000000001,25.567,2.11,1.6225,1.0,67.18139134079783
1,553.3399999999999,1130.6999999999998,16.3155,1.084,3.4930000000000003,2.1,52.02318969930237
1,549.91,1192.26,15.4065,0.3885,4.09,0.7000000000000001,31.22365658286116
1,252.995,512.05,13.595,0.391,3.5385,2.8000000000000003,69.28326919201965
1,131.575,294.995,8.981,0.0535,3.559,0.3,64.91839317117082
1,353.79,748.18,10.748,0.4054999999999999,2.437,2.1,55.61043884632068
1,986.58,1993.06,21.457,1.944,3.649,1.7000000000000002,32.60158500566817
1,176.41,381.47,12.5145,0.616,5.9725,0.8,60.70721549509758
1,389.22,839.36,14.868,0.4805,2.556,0.7000000000000001,47.45371854855162
1,342.625,722.98,22.471,1.3544999999999998,1.317,2.3000000000000003,38.58025474739888
1,734.005,1447.35,12.3925,0.8334999999999999,3.75,1.9,44.47203322593035
1,126.255,273.62,19.1625,0.992,1.306,2.5,58.274782881240256
1,262.96500000000003,498.21,16.676499999999997,0.9985,2.7925,1.6,64.55432730770066
1,0.235,0.0,12.549,0.3855,2.571,2.8000000000000003,90.0
1,373.365,755.6800000000001,21.8905,1.4035,4.9885,2.8000000000000003,66.20018133220591
1,867.595,1759.5,25.0855,2.3495,7.872,2.2,32.00261656365279
1,108.945,261.22,5.351,0.039,4.8685,0.3,37.31813966657436
1,170.305,348.82500000000005,11.582,0.126,5.3615,0.9,73.20511537526728
1,322.61,656.315,15.2855,0.8939999999999999,1.5205000000000002,1.6,64.37112632467392
1,110.87,225.705,19.8005,0.285,2.6535,1.6,71.07255820285036
1,517.27,995.56,19.031,1.237,4.031499999999999,1.6,60.75821467543885
1,645.5350000000001,1384.4299999999998,10.8415,0.2305,1.9705,1.6,31.87748936453871
1,430.53,889.98,20.1615,1.1515,3.115,2.5,49.85752439853416
1,468.11,951.045,16.561,1.1435,3.2105,2.1,60.77426304360532
1,415.47,808.06,16.114,0.8055,1.007,1.9,58.274782881240256
1,252.215,555.0,19.984,1.4065,4.4705,1.1,52.97071098428642
1,714.655,1480.12,20.3695,1.404,6.0205,1.5,31.633471048105
1,705.35,1412.95,14.8775,0.4265,3.4605,0.7000000000000001,45.25627269806768
1,420.82,906.535,20.574,1.365,6.3965,1.5,37.521614508244845
1,317.865,662.105,21.848,1.717,2.17,2.4000000000000004,62.43587539941648
1,608.3399999999999,1216.905,8.4185,0.5675,7.792,1.3,42.79671887188996
1,0.105,0.33,-0.235,0.297,2.6815,0.5,90.0
1,0.15,0.0,-28.653,0.0175,1.26,0.6000000000000001,90.0
1,565.05,1122.24,3.4615,0.542,3.4745,1.4,53.64010910008271
1,109.555,242.78500000000005,-4.498,0.011,1.3685,0.9,60.52340497393442
1,620.2249999999999,1192.66,10.917,0.8825000000000001,3.242,0.5,58.9644560497262
1,401.78,803.2950000000001,9.456499999999998,0.767,5.548,0.6000000000000001,65.18562629445357
1,174.95,381.89,17.206,1.2635,5.263,1.2000000000000002,58.0368080094706
1,729.4200000000001,1445.995,20.6825,1.9035,3.613,1.5,41.34228348731527
1,522.625,1005.835,-4.3925,0.1689999999999999,5.811,0.7000000000000001,63.07354884786877
1,561.2,1148.36,8.247,0.548,7.163,1.3,37.27617215058196
1,736.715,1402.55,1.022,0.458,2.5585,0.9,51.25189277829176
1,352.615,768.56,4.694,0.3389999999999999,3.962,0.9,45.69275581111142
1,391.29,789.235,10.619,0.7035,4.6665,1.0,65.73512318891649
1,381.595,729.13,-23.0895,0.0525,6.002,0.5,60.26242687967296
1,147.85500000000002,279.90500000000003,-9.6285,0.128,1.9945,0.9,75.797081846013
1,447.665,906.645,10.860499999999998,0.506127507578211,2.4355,0.5,63.688046525501385
1,119.545,268.61,-2.22,0.0275,2.2715,0.6000000000000001,69.38701850651313
1,485.6,992.51,3.6505,0.254,4.21,0.9,51.28460899412924
1,0.3249999999999999,-0.01,0.2095,0.1335,2.887,1.1,90.0
1,298.53,567.985,9.591,1.014,1.9905,1.2000000000000002,72.1350347673861
1,779.005,1526.34,12.3545,1.0185,2.686,1.4,44.548234214834366
1,281.685,540.37,1.8865,0.489,2.2615,0.9,73.66940378707525
1,605.2049999999999,1200.6,9.587,0.6154999999999999,4.909,1.0,57.07185050679589
1,763.235,1528.75,3.8965,0.5675,4.093,1.0,36.86929793507506
1,318.895,642.5699999999999,9.6925,0.5469999999999999,1.2815,0.9,63.82515146594002
1,587.98,1132.89,9.178999999999998,0.508,5.322,1.0,56.25556584308313
1,-0.21,-0.005,10.602,0.3185,5.216,1.6,90.0
1,111.14,226.945,0.428,0.144,1.1415,0.9,76.4984755551665
1,500.985,984.355,12.0615,0.657,3.578,1.3,57.472984704635735
1,41.405,96.36,9.913,0.0395,6.343,0.8,70.21051941495904
1,211.865,448.31,3.7245,0.0375,2.318,0.6000000000000001,65.12228358841915
1,421.31,820.975,15.834,0.918,2.5315000000000003,0.9,64.67974292558132
1,93.32,214.245,6.3715,0.067,1.362,0.9,65.99519563011569
1,100.595,231.9955,11.788,0.047,2.271,1.2000000000000002,53.27663591676605
1,70.945,170.595,9.1065,0.03,1.0235,0.4,54.31064494652056
1,327.78,665.38,7.189500000000001,0.3505,2.1,0.6000000000000001,58.17608386434306
1,270.49,549.82,15.3005,1.2205,5.0005,0.9,65.99519563011569
1,395.465,816.6500000000001,13.2435,0.4665,5.072,1.6,47.95678957954672
1,54.315,129.885,7.298500000000001,0.0125,1.8475,0.4,58.91149837668265
1,94.58,226.42,14.9825,0.2794999999999999,1.0965,1.2000000000000002,58.2124624985217
1,411.265,806.2850000000001,10.51,0.478,3.0010000000000003,1.3,63.785928000960574
1,296.035,623.7850000000001,5.238,0.1825,2.1115,0.6000000000000001,53.08819464342552
1,429.39,852.515,10.524,0.79,2.2825,0.6000000000000001,57.90458177552293
1,86.315,192.935,1.776,0.0125,3.0315000000000003,0.8,73.01917667600722
1,547.275,1038.1,4.6475,0.3369999999999999,2.9205,0.9,59.33771942027193
1,299.68,606.44,10.4065,0.0905,1.753,0.4,64.14040716962546
1,266.835,568.585,10.25,0.655,3.495,0.6000000000000001,63.82515146594002
1,482.895,948.245,25.8255,2.2375,3.425,2.3000000000000003,59.65543874064165
1,191.56,404.005,13.7235,0.54,3.4935,1.6,65.86720574607624
1,450.9,826.825,-20.5445,0.0579999999999999,4.368,0.6000000000000001,69.6618634146987
1,419.51,775.79,-19.624,0.0771465391849797,1.1775,0.7000000000000001,67.51658085008859
1,0.015,0.005,-15.2075,0.017,2.209,0.6000000000000001,90.0
1,268.85,539.665,-9.4485,0.0695,2.8265,0.6000000000000001,71.04764355386632
1,113.605,247.22,-15.7775,0.023,4.6195,0.6000000000000001,69.8676752023703
4,122.935,194.0185,20.665,4.008100000000001,1.531,4.5,72.90303793901954
4,331.277,584.4105,25.54,15.0296,1.0485,4.7,36.76563293755766
4,-1.6115,0.0,20.46,8.3665,3.2015,4.4,90.0
4,717.985,1264.9975,27.69,10.64005,2.15,1.4,34.53978958483204
4,676.7825,1167.5595,22.355,7.38555,3.8415,5.800000000000001,56.814139198323694
4,51.6795,103.364,19.18,2.71085,3.749,3.0,59.26638556436053
4,566.4314999999999,929.0675,18.98,8.2638,3.793,5.800000000000001,19.964534671590425
4,913.576,1614.2695,22.705,16.0188,3.964,5.2,37.12775375363971
4,428.802,739.7735,23.45,8.34765,2.407,5.2,48.2866643448427
4,949.132,1667.7435,21.07,12.36955,3.815,4.4,22.041980065723536
4,495.7115,783.094,19.665,5.6781,2.3735,5.5,63.40064012068628
4,161.064,259.341,26.905,24.4324,1.356,5.1000000000000005,68.32734826404173
4,968.8485,1702.8815,24.16,7.170249999999999,4.264,2.2,20.547030501468125
4,641.4275,1123.6645,21.275,1.40265,2.8585000000000003,4.800000000000001,37.29666786426088
4,88.9375,162.227,22.275,4.0581000000000005,1.292,4.800000000000001,68.32734826404173
4,890.5425,1557.5549999999998,15.760000000000002,5.7119,3.816,5.0,27.47883499083866
4,600.428,1026.591,25.005000000000003,16.82595,2.467,4.1000000000000005,38.36999448422452
4,854.2950000000001,1523.781,26.949,15.51995,2.364,6.300000000000001,37.88385006039043
4,458.3415,748.7280000000001,28.505000000000003,14.46275,4.7555,5.4,46.37517415277379
4,310.5245,536.4069999999999,26.32,14.30015,2.325,5.7,55.882792552511816
4,-2.513,0.0,18.74,4.252000000000001,1.2959999999999998,4.2,90.0
4,317.54650000000004,529.0705,23.43,5.162100000000001,3.417,4.7,58.1929219996411
4,722.0595,1204.9625,23.9,20.58965,3.388,4.6000000000000005,35.68385350872828
4,84.55,154.6775,19.055,0.0,0.378,4.800000000000001,69.96499301174758
4,143.631,246.507,22.395,1.21795,1.589,3.6,70.68580575481427
4,213.1425,365.834,21.075,8.10125,2.5055,3.0,71.47378578676131
4,600.6245,996.3745,26.22,11.10715,3.4835000000000003,5.7,59.0726622546244
4,92.9595,169.5675,11.795,0.4912999999999999,4.836,4.3,46.88288914730093
4,884.664,1639.6805,29.045,14.2226,6.333,5.0,23.57047923199711
4,912.3025,1601.826,23.025,12.1678,3.597,5.5,33.448127298122266
4,474.6785,771.7325000000001,25.1,14.0899,2.2415,5.9,51.838114362955565
4,89.6555,161.85649999999998,23.77,9.082,1.3735,1.9,69.323966939363
4,848.1775,1450.5549999999998,23.16,19.5453,3.5325,4.6000000000000005,26.160347366749672
4,458.2095,734.2139999999999,15.260000000000002,5.346,0.788,5.7,70.25430689947918
4,478.524,747.2705,18.725,10.7413,1.179,4.6000000000000005,69.80328155822572
4,646.2225,1105.708,24.215,13.2605,3.9485,5.4,26.504762422070325
4,174.9435,289.274,19.75,9.87245,1.6195,4.7,68.41983389698774
4,301.3335,500.32950000000005,27.315,13.9328,2.981,5.5,60.441909189374776
4,609.903,1001.172,19.66,10.0966,0.889,5.6000000000000005,37.89781128038548
4,117.7625,195.1415,26.57,12.37995,2.7285,5.5,71.43700327356275
4,847.5,1405.879,6.451,3.9904,4.332,0.9,44.46879506580985
4,100.516,188.3765,-1.3455,0.5689,4.7395,0.7000000000000001,57.625984980418345
4,-0.1035,0.0,3.3305,0.5236000000000001,2.5865,0.5,90.0
4,915.827,1586.1885,20.075000000000003,9.32585,3.8055,2.2,26.00390515744688
4,921.0065,1622.677,20.845,9.54655,3.871,2.9000000000000004,26.00390515744688
4,276.6505,511.839,10.655,2.46545,4.361000000000001,1.1,38.57914268925745
4,901.064,1672.961,26.735,15.22925,3.629,5.1000000000000005,22.386328687226705
4,151.4485,226.722,14.165,9.7669,4.1765,4.7,69.98341832819699
4,420.5065,664.557,11.185,5.53065,4.093,0.8,57.625984980418345
4,718.6115,1155.8225,9.745,6.62125,7.3425,0.9,55.39917695401429
4,866.4975,1468.1835,8.72,5.8316,5.282,0.9,31.00820441645608
4,301.803,482.901,2.0340000000000003,2.2145,2.9785,0.8,53.37857553972896
4,564.156,895.8015,-1.0665,2.90625,4.96,0.5,49.55187490431083
4,59.55,111.1495,2.3925,0.3412,7.6305,0.5,61.3879604714924
4,345.4235,585.8545,12.975,4.124750000000001,5.9775,0.9,57.69267217241703
4,77.06,144.697,8.79,3.781,4.7485,0.5,66.70472398187107
4,336.5675,599.5625,8.43,3.9087,3.433,0.9,29.60152962585145
4,55.09,96.1475,22.815,8.041500000000001,2.0735,1.7000000000000002,73.30841157754512
4,641.423,1121.7565,30.845,22.35365,3.65,3.9,36.98231287469358
4,852.3115,1448.1655,20.48,17.65835,1.9585,1.7000000000000002,22.53
4,491.7295,780.6285,14.76,6.71535,3.7865,1.7000000000000002,49.83805544266888
4,661.942,1058.6765,7.1080000000000005,4.4917,4.8265,2.9000000000000004,39.440510974919015
4,856.604,1364.039,5.773,5.923,3.4095,0.7000000000000001,39.99591689803369
4,114.726,215.491,1.7645,0.17695,7.34,0.5,44.42874141477267
4,136.799,225.437,14.49,4.5571,3.909,0.8,68.26249362847581
4,196.3875,299.101,12.665,6.15575,2.872,2.5,71.30382157768715
