min_nee,max_nee,mean_nee,median_nee,std_nee,2.5pct_nee,97.5pct_nee,5pct_nee,95pct_nee,year,doy
-34.5287,17.9545,-4.257697800531137,-2.7047350000000003,8.941279136802933,-23.96105,9.1781875,-20.353324999999998,7.9233,2003.0,41.0
-26.0169,13.2962,-3.1288168206410236,-2.0019400000000003,6.618407692882513,-17.51915,7.0019,-14.90355,5.770225,2003.0,42.0
-37.417,19.4695,-4.648724593589741,-2.918545,9.768796021687725,-26.177875,9.9356375,-22.3228,8.666875000000001,2003.0,43.0
-35.567,18.4155,-4.3949603131868145,-2.7535350000000003,9.256690963729358,-24.723824999999998,9.474287499999999,-21.0275,8.232575,2003.0,44.0
-24.0687,12.1871,-2.876896618315018,-1.8140399999999999,6.117312105588505,-16.1165875,6.517787500000001,-13.74915,5.40445,2003.0,45.0
-27.9762,14.2681,-3.392574178021978,-2.11663,7.195464303706138,-19.0037375,7.5347124999999995,-16.290924999999998,6.278325,2003.0,46.0
-39.322,20.3901,-4.914348506776558,-3.0665,10.364260219192339,-27.672562499999998,10.4616875,-23.757625,9.105875,2003.0,47.0
-35.1105,18.0676,-4.345765373260074,-2.70165,9.194421564606742,-24.4234,9.3901625,-20.79065,8.1247,2003.0,48.0
-42.6405,22.1696,-5.385990172069601,-3.287925,11.36324167486472,-30.2085125,11.32055,-26.137625,9.867125,2003.0,49.0
-29.7956,15.161200000000001,-3.6422679204212463,-2.2213950000000002,7.746953784431213,-20.407249999999998,8.004675,-17.56495,6.938750000000001,2003.0,50.0
-16.506899999999998,8.1175,-1.918021150238098,-1.21597,4.144487703779691,-10.925762500000001,4.386,-9.466775,3.6375,2003.0,51.0
-15.891,7.7898000000000005,-1.8427626297985369,-1.1672150000000001,3.990415571002027,-10.528224999999999,4.2187624999999995,-9.116624999999999,3.4976000000000003,2003.0,52.0
-19.9434,9.8872,-2.3585657919413934,-1.480845,5.08305344935123,-13.334599999999998,5.3600625,-11.576575,4.49,2003.0,53.0
-17.2468,8.4697,-2.0157669967765557,-1.26912,4.366049106887259,-11.4262375,4.6060625,-10.005725,3.831595,2003.0,54.0
-20.5083,10.1674,-2.438956804578757,-1.5082,5.26236290446485,-13.8079625,5.5255,-11.9682,4.6857999999999995,2003.0,55.0
-33.1555,16.8233,-4.103621045970694,-2.4836799999999997,8.774915640936825,-23.021662499999998,8.81605,-19.786974999999998,7.757325,2003.0,56.0
-41.9505,21.5361,-5.311366066245414,-3.2870999999999997,11.318049665696076,-29.891437500000002,11.368275,-25.80115,9.755575,2003.0,57.0
-37.115,18.8983,-4.649486935531135,-2.853745,9.937898962261123,-26.1098375,9.9345625,-22.50085,8.6743,2003.0,58.0
-35.0791,17.8094,-4.38577286347985,-2.69076,9.391198322648656,-24.6119,9.413675,-21.264525,8.259974999999999,2003.0,59.0
-17.2217,8.3906,-2.021680886080588,-1.243935,4.406811467604518,-11.4814,4.693175,-10.095875,3.956685,2003.0,60.0
-19.4803,9.539,-2.3117695265018265,-1.40557,5.028712173693948,-13.1581125,5.3133625,-11.553374999999999,4.493675,2003.0,61.0
-22.607,11.14,-2.7156755025641024,-1.6549399999999999,5.895463133464709,-15.336662500000001,6.153175,-13.427575000000001,5.318575,2003.0,62.0
-19.2552,9.398,-2.2855608716117217,-1.38218,4.985627859668515,-13.033850000000001,5.2742625,-11.456275,4.450925,2003.0,63.0
-21.195,10.4049,-2.5461644669230754,-1.5346899999999999,5.543610051781778,-14.3993625,5.79805,-12.620625,5.0074950000000005,2003.0,64.0
-17.624299999999998,8.5326,-2.0771580418315034,-1.259485,4.553653005650346,-11.878975,4.86185,-10.400275,4.0438,2003.0,65.0
-14.5761,6.9767,-1.6932834575457871,-1.03305,3.735041367125446,-9.754137499999999,4.0116125,-8.49835,3.3194749999999997,2003.0,66.0
-17.8386,8.6314,-2.112165172197801,-1.301535,4.6374868934298625,-12.0964125,4.9244375,-10.618974999999999,4.1215125,2003.0,67.0
-25.4351,12.5225,-3.103368837545787,-1.8633199999999999,6.766123456916593,-17.380537500000003,7.0367375,-15.31965,6.055975,2003.0,68.0
-31.072499999999998,15.4265,-3.8551719721611715,-2.287855,8.381211761828885,-21.5590875,8.650175,-18.95675,7.467225,2003.0,69.0
-26.5197,13.0355,-3.246035774725273,-1.95132,7.089320688869897,-18.1589,7.334675,-16.0747,6.2619,2003.0,70.0
-27.895500000000002,13.7407,-3.4358953546153845,-2.04772,7.502504612245689,-19.1753875,7.7490749999999995,-16.941125,6.608275,2003.0,71.0
-39.143,19.6179,-4.976288382051281,-2.94651,10.806848258523154,-27.942725,11.046325,-24.684874999999998,9.565774999999999,2003.0,72.0
-52.395,26.5483,-6.8305735371794825,-4.08528,14.774798657552283,-38.0111875,14.8515625,-33.984975000000006,13.012374999999999,2003.0,73.0
-82.19200000000001,41.744,-11.008744879487173,-6.4474,23.635458652340166,-60.35625,23.225175,-54.418,20.2865,2003.0,74.0
-68.712,34.759,-9.090184501465199,-5.30105,19.57275020219404,-49.870125,19.297275,-45.13875,17.041375,2003.0,75.0
-73.396,37.0895,-9.75007289908425,-5.7052,21.000253960989813,-53.548,20.654,-48.701,18.174950000000003,2003.0,76.0
-107.902,54.617,-14.66055067948718,-8.9069,31.45556353261933,-80.429375,30.6775125,-72.5635,26.255375,2003.0,77.0
-103.227,52.108,-14.013651223443217,-8.4558,29.97911822913361,-76.812625,29.24465,-69.6965,25.076025,2003.0,78.0
-109.402,55.1635,-14.924472186813178,-9.0353,31.896378075263137,-81.52025,31.2095375,-73.5605,26.6004,2003.0,79.0
-92.806,46.635,-12.591045741758247,-7.61375,26.926337425382783,-68.800625,26.1829375,-62.162625,22.655075,2003.0,80.0
-120.68599999999999,60.677,-16.618708981684964,-10.0497,35.485610363925424,-91.70125,34.677387499999995,-83.04275,29.5494,2003.0,81.0
-95.822,47.981,-12.967777238095238,-7.7745999999999995,27.81884583319646,-71.159125,27.12075,-64.37575,23.319125,2003.0,82.0
