min_lai,max_lai,mean_lai,median_lai,std_lai,2.5pct_lai,97.5pct_lai,5pct_lai,95pct_lai,year,doy,hour
0.05478,0.1412,0.08721406593406585,0.0858,0.011971482289528252,0.06609999999999999,0.11605,0.06952,0.107195,2003.0,40.0,0.0
0.05478,0.1439,0.08728948717948715,0.08585000000000001,0.012091704113167245,0.0661875,0.11699999999999999,0.06952,0.10736,2003.0,41.0,0.0
0.05478,0.1467,0.08736994505494501,0.08587,0.012222655899790434,0.06625,0.1178525,0.06952,0.10750499999999999,2003.0,42.0,0.0
0.05478,0.1497,0.0874567765567765,0.08592,0.012368702862781517,0.0663125,0.1178975,0.06952,0.107805,2003.0,43.0,0.0
0.05478,0.1528,0.08754838827838828,0.08596999999999999,0.012529658465049966,0.0664525,0.11916875,0.06952,0.1078125,2003.0,44.0,0.0
0.05478,0.1561,0.0876458791208791,0.08606,0.012706595443227046,0.0665775,0.1192625,0.06952,0.10785,2003.0,45.0,0.0
0.05478,0.1597,0.08775172161172157,0.08606,0.01290438572639429,0.0667025,0.1193625,0.06952,0.1081125,2003.0,46.0,0.0
0.05478,0.1635,0.08786432234432227,0.08607999999999999,0.01312511319299498,0.0668275,0.1196875,0.06952,0.10842,2003.0,47.0,0.0
0.05478,0.1674,0.08798413919413917,0.0862,0.013365158912032887,0.066975,0.11997625,0.06952,0.10871499999999999,2003.0,48.0,0.0
0.05478,0.1716,0.08811208791208788,0.08633,0.013633921028269946,0.066975,0.1202875,0.06952,0.10886499999999999,2003.0,49.0,0.0
0.05478,0.176,0.08825005494505499,0.08638000000000001,0.013929044310713491,0.066975,0.12063750000000001,0.069535,0.10958000000000001,2003.0,50.0,0.0
0.05478,0.1808,0.08839923076923081,0.08652499999999999,0.014258860556205979,0.0669975,0.1212175,0.069535,0.10967,2003.0,51.0,0.0
0.05478,0.1858,0.088558717948718,0.08655,0.014620108930590075,0.0669975,0.12241874999999999,0.069535,0.1097075,2003.0,52.0,0.0
0.05478,0.191,0.08873205128205135,0.0866,0.015017974069171894,0.0670125,0.1229,0.069535,0.10986,2003.0,53.0,0.0
0.05478,0.1967,0.08891558608058613,0.08665,0.015457888747117591,0.0670125,0.12366,0.069575,0.11157249999999999,2003.0,54.0,0.0
0.05478,0.2026,0.08911329670329661,0.08673,0.015941789953137976,0.06705,0.125075,0.0698375,0.11319,2003.0,55.0,0.0
0.05478,0.209,0.08932686813186816,0.08673,0.016473360198467422,0.06706875000000001,0.12638749999999999,0.0700325,0.11376249999999999,2003.0,56.0,0.0
0.05478,0.2157,0.08955532967032964,0.08687500000000001,0.017056407464035077,0.06708750000000001,0.127325,0.07005,0.11510000000000001,2003.0,57.0,0.0
0.05478,0.2228,0.08980199633699623,0.0869,0.017693340649712685,0.06711375,0.1283,0.0700875,0.117225,2003.0,58.0,0.0
0.05478,0.2305,0.0900682051282051,0.08710000000000001,0.0183934672508059,0.067125,0.1300375,0.070125,0.118045,2003.0,59.0,0.0
0.05478,0.2384,0.09035382783882778,0.08723,0.019155442214203313,0.0671625,0.1325,0.07017749999999999,0.11815,2003.0,60.0,0.0
0.05478,0.2483,0.09066243589743592,0.08735000000000001,0.0199951253444872,0.06718125,0.13517500000000002,0.0702,0.1199,2003.0,61.0,0.0
0.05478,0.2615,0.09099811355311355,0.08735000000000001,0.02090424687798405,0.0672375,0.1382125,0.0703125,0.1218975,2003.0,62.0,0.0
0.05478,0.276,0.09135992673992674,0.08743000000000001,0.021897596382572965,0.06736500000000001,0.142075,0.070425,0.1229325,2003.0,63.0,0.0
0.05478,0.291,0.09175005494505495,0.0875,0.022972876663552817,0.0675625,0.1462375,0.0705,0.12315000000000001,2003.0,64.0,0.0
0.05478,0.3074,0.0921707509157509,0.087725,0.024140742203047325,0.06776875,0.1507375,0.07052499999999999,0.1247,2003.0,65.0,0.0
0.05478,0.325,0.09262342490842491,0.0878,0.02540810062603641,0.06776875,0.1556375,0.07052499999999999,0.127025,2003.0,66.0,0.0
0.05478,0.3438,0.09311747252747257,0.08795,0.026781796162883707,0.06776875,0.160875,0.07052499999999999,0.129425,2003.0,67.0,0.0
0.05478,0.3638,0.09364943223443216,0.088195,0.02826411296494902,0.06784375000000001,0.166475,0.070635,0.13235,2003.0,68.0,0.0
0.05478,0.385,0.09422309523809527,0.08835000000000001,0.029865739951974845,0.06793,0.172325,0.07100999999999999,0.13442500000000002,2003.0,69.0,0.0
0.05478,0.408,0.09484728937728934,0.08844,0.031599093576254345,0.06809875,0.178175,0.0712,0.1384,2003.0,70.0,0.0
0.05478,0.4324,0.09552168498168492,0.08854999999999999,0.03346704440205078,0.06809875,0.18415,0.071225,0.1426,2003.0,71.0,0.0
0.05478,0.4583,0.09625307692307702,0.08875,0.03547908705192549,0.06809875,0.190475,0.071225,0.14715,2003.0,72.0,0.0
0.05478,0.486,0.0970411538461538,0.088885,0.03763833890525631,0.0680875,0.1970375,0.07124,0.1503,2003.0,73.0,0.0
0.05478,0.5156,0.09789824175824179,0.0891,0.03996828862968094,0.0680875,0.2033375,0.07124,0.15435,2003.0,74.0,0.0
0.05478,0.548,0.09882891941391941,0.08937999999999999,0.04248865402491046,0.0680875,0.21025,0.07125,0.15864999999999999,2003.0,75.0,0.0
0.05475,0.582,0.09983395604395615,0.0895,0.04518605574985779,0.0680875,0.2197875,0.07125,0.163725,2003.0,76.0,0.0
0.05475,0.6177,0.10092267399267409,0.08963,0.048069614936840234,0.0680875,0.230125,0.0714,0.169725,2003.0,77.0,0.0
0.05475,0.6567,0.10210747252747254,0.08988499999999999,0.05118785294754977,0.0680875,0.24130000000000001,0.071725,0.1767,2003.0,78.0,0.0
0.05475,0.6978,0.1033904029304028,0.0904,0.05454127478234465,0.0680875,0.25506249999999997,0.071705,0.18545,2003.0,79.0,0.0
0.05475,0.7417,0.10478608058608056,0.09062,0.05814031059416653,0.068025,0.269775,0.07172,0.19455,2003.0,80.0,0.0
0.05475,0.788,0.10630329670329666,0.09064,0.06199908718277331,0.068025,0.285375,0.07172,0.201675,2003.0,81.0,0.0
0.05475,0.837,0.10794811355311348,0.09092,0.06614579532785173,0.06803624999999999,0.2995625,0.07172,0.210075,2003.0,82.0,0.0
0.05475,0.8877,0.10973113553113559,0.091175,0.07052064090182118,0.0680625,0.314,0.07175000000000001,0.2217,2003.0,83.0,0.0
0.05475,0.942,0.11166785714285708,0.091575,0.07521834704199513,0.0681,0.3293,0.07197500000000001,0.2342,2003.0,84.0,0.0
0.05475,0.999,0.11377397435897428,0.09216,0.08024980824322614,0.0681875,0.34583749999999996,0.0719925,0.2437,2003.0,85.0,0.0
0.05475,1.059,0.11606641025641025,0.09245,0.0856397102348464,0.0682625,0.362875,0.0719925,0.253825,2003.0,86.0,0.0
0.05475,1.122,0.11855390109890113,0.09283,0.09138627831665991,0.06835,0.380675,0.0719925,0.265,2003.0,87.0,0.0
0.05475,1.1875,0.1212502747252747,0.09347,0.09749775611305288,0.06835,0.4022375,0.07197500000000001,0.276625,2003.0,88.0,0.0
0.05475,1.258,0.12418847985347992,0.0938,0.1040979821873752,0.06835,0.42322499999999996,0.07197500000000001,0.289575,2003.0,89.0,0.0
0.05475,1.329,0.12736507326007326,0.09476000000000001,0.11101742828420529,0.06835,0.440975,0.07197500000000001,0.304825,2003.0,90.0,0.0
0.05472,1.404,0.13082075091575088,0.09525,0.118435607026471,0.06835,0.4637625,0.07225000000000001,0.3227,2003.0,91.0,0.0
0.05472,1.482,0.1345631868131869,0.09578,0.12629864414168276,0.068375,0.488025,0.0723375,0.336375,2003.0,92.0,0.0
0.05472,1.564,0.13863630036630034,0.096275,0.13471676222660534,0.0684725,0.5211250000000001,0.0723375,0.35135,2003.0,93.0,0.0
0.05472,1.648,0.14306223443223462,0.097075,0.14367461967150089,0.06863749999999999,0.5569375,0.0723375,0.3792,2003.0,94.0,0.0
0.05472,1.736,0.14785168498168502,0.09784999999999999,0.15320996746894286,0.0686625,0.5892499999999999,0.0723375,0.4077,2003.0,95.0,0.0
0.05472,1.827,0.1530681318681319,0.09885,0.16338820441796192,0.0690125,0.628875,0.07248750000000001,0.4323,2003.0,96.0,0.0
0.05472,1.921,0.15871558608058614,0.10023,0.17422820004453016,0.06989375,0.6613125,0.0727625,0.46625,2003.0,97.0,0.0
0.05472,2.018,0.16486168498168488,0.1013,0.18582037227688178,0.0704225,0.70125,0.0729,0.510875,2003.0,98.0,0.0
0.05472,2.12,0.1715436080586079,0.10275000000000001,0.1982475476104649,0.07065125,0.74375,0.0734375,0.560425,2003.0,99.0,0.0
0.05472,2.225,0.1788262271062272,0.10475000000000001,0.21162888818096562,0.07088749999999999,0.789375,0.07420500000000001,0.59065,2003.0,100.0,0.0
0.05472,2.33,0.1867029853479855,0.1058,0.2257725801841267,0.07125000000000001,0.837625,0.07448,0.6165,2003.0,101.0,0.0
0.05472,2.44,0.19521813186813183,0.1073,0.24076950178139936,0.0713125,0.9130625,0.074615,0.6747,2003.0,102.0,0.0
0.05472,2.55,0.20440820512820518,0.10904,0.25659057509646027,0.0713125,0.9756875,0.0749675,0.7326,2003.0,103.0,0.0
0.05472,2.66,0.21421148351648328,0.11205000000000001,0.2729050848844279,0.0713125,1.0267499999999998,0.075525,0.780775,2003.0,104.0,0.0
0.05472,2.773,0.22483419413919417,0.1142,0.29031154388490227,0.0717125,1.11025,0.0757725,0.849825,2003.0,105.0,0.0
0.05472,2.887,0.23627456043956033,0.117435,0.3086734051790863,0.0716875,1.174375,0.0760625,0.88635,2003.0,106.0,0.0
0.05472,3.0,0.24856868131868112,0.120265,0.32792630705288117,0.071725,1.241875,0.0762375,0.940175,2003.0,107.0,0.0
0.05472,3.117,0.2619738461538462,0.12387000000000001,0.34871064300320975,0.07205,1.322375,0.0764625,0.988325,2003.0,108.0,0.0
0.05472,3.236,0.27651833333333314,0.12890000000000001,0.37097524782580704,0.07205,1.421375,0.07660499999999999,1.0289000000000001,2003.0,109.0,0.0
0.05472,3.355,0.2921812271062272,0.13445000000000001,0.3944703915589312,0.07205,1.545,0.07725,1.0707499999999999,2003.0,110.0,0.0
0.05475,3.477,0.3090936263736262,0.14079999999999998,0.4194077963449164,0.07205,1.646625,0.077625,1.1145,2003.0,111.0,0.0
0.05475,3.596,0.32717450549450544,0.14834999999999998,0.445421499517188,0.07205,1.745125,0.07782499999999999,1.1797499999999999,2003.0,112.0,0.0
0.05475,3.715,0.3465395604395606,0.15615,0.4727273347536534,0.07201250000000001,1.828125,0.077955,1.28125,2003.0,113.0,0.0
0.05475,3.832,0.3672726556776558,0.16570000000000001,0.5013811383069757,0.07201250000000001,1.935625,0.078025,1.347,2003.0,114.0,0.0
0.05478,3.947,0.389354395604396,0.17525,0.531193902540877,0.0726625,2.060625,0.078095,1.42425,2003.0,115.0,0.0
0.05478,4.062,0.4128217948717951,0.18605,0.5621832305493476,0.0732625,2.16925,0.078225,1.54,2003.0,116.0,0.0
0.0548,4.17,0.4375645421245418,0.19655,0.5939014232387556,0.07368125,2.31375,0.0783175,1.647,2003.0,117.0,0.0
0.0548,4.28,0.46398994505494495,0.21095,0.6271864619038023,0.0743625,2.42125,0.078525,1.774,2003.0,118.0,0.0
0.05484,4.39,0.4920230036630039,0.22870000000000001,0.6617298420641926,0.0750875,2.5488750000000002,0.078755,1.91675,2003.0,119.0,0.0
0.0549,4.496,0.5219132234432237,0.24935000000000002,0.6977518568585758,0.07626875,2.76175,0.07904,2.07375,2003.0,120.0,0.0
0.05493,4.598,0.5534780036630036,0.27244999999999997,0.7347160385689852,0.0769625,2.879875,0.079695,2.2292500000000004,2003.0,121.0,0.0
0.055,4.73,0.5867724175824175,0.2968,0.7725442867300761,0.07748875,2.978625,0.080155,2.37925,2003.0,122.0,0.0
0.05502,4.99,0.6218931135531139,0.31745,0.8111073861456399,0.0775125,3.078375,0.081525,2.48375,2003.0,123.0,0.0
0.0551,5.24,0.6587730036630038,0.341,0.8501579568234529,0.0776625,3.175625,0.081705,2.58425,2003.0,124.0,0.0
0.0552,5.48,0.697044450549451,0.3694,0.8886589455015759,0.07819375,3.2853749999999997,0.082265,2.673,2003.0,125.0,0.0
0.0553,5.715,0.7374982967032963,0.39625,0.9277251812650343,0.078725,3.409125,0.0829125,2.7865,2003.0,126.0,0.0
0.05542,5.95,0.7802281318681319,0.423,0.9672676914350645,0.07933125,3.53675,0.08315,2.90475,2003.0,127.0,0.0
0.05554,6.152,0.8231145054945052,0.4538,1.004087239610784,0.07967625,3.6557500000000003,0.08369499999999999,3.0077499999999997,2003.0,128.0,0.0
0.0557,6.47,0.8685400915750922,0.4858,1.0415518680872968,0.08006125,3.771375,0.08395,3.10425,2003.0,129.0,0.0
0.0559,6.78,0.9158386080586081,0.5257000000000001,1.0785681923412025,0.08056250000000001,3.875,0.08449999999999999,3.1942500000000003,2003.0,130.0,0.0
0.05612,7.066,0.9653437728937736,0.5703,1.1154459544066904,0.0813875,4.021875,0.08545,3.29875,2003.0,131.0,0.0
0.0564,7.316,1.0171335347985349,0.61485,1.1521749152588345,0.0818875,4.179875,0.08630499999999999,3.405,2003.0,132.0,0.0
0.0567,7.535,1.0709980769230771,0.6665,1.1884805833605792,0.08237749999999999,4.331875,0.087925,3.5295,2003.0,133.0,0.0
0.05707,7.723,1.1263817216117216,0.7147,1.2238310966296624,0.082725,4.481,0.08853,3.68425,2003.0,134.0,0.0
0.05746,7.88,1.1836176007326016,0.7670999999999999,1.2585720691757305,0.0831125,4.623749999999999,0.0895125,3.8055,2003.0,135.0,0.0
0.05795,8.01,1.2420192673992692,0.8283499999999999,1.2920593477157487,0.083425,4.7402500000000005,0.091175,3.9770000000000003,2003.0,136.0,0.0
0.05853,8.12,1.3004659890109898,0.886,1.32333190998052,0.0837625,4.8313749999999995,0.091775,4.12,2003.0,137.0,0.0
0.0592,8.2,1.3614028021978035,0.9492499999999999,1.3549175033331564,0.08408125,4.9254999999999995,0.0927525,4.303,2003.0,138.0,0.0
0.05997,8.28,1.4222458791208785,1.0135,1.3842875829266195,0.0844625,5.003500000000001,0.09317500000000001,4.424,2003.0,139.0,0.0
0.06085,8.34,1.4857957692307682,1.0975000000000001,1.4142492672266946,0.084685,5.129125,0.09565000000000001,4.53125,2003.0,140.0,0.0
0.0619,8.4,1.5503342124542117,1.1595,1.4429222235662909,0.0850475,5.215625,0.0980825,4.62,2003.0,141.0,0.0
0.06305,8.45,1.615986996336996,1.255,1.4707066840234755,0.0854875,5.290125,0.10141,4.7225,2003.0,142.0,0.0
0.06445,8.49,1.682956575091575,1.3305,1.497823995350672,0.0871375,5.358125,0.104475,4.7875,2003.0,143.0,0.0
0.06604,8.54,1.751469835164836,1.389,1.5246879647463472,0.0874375,5.468,0.10712,4.87375,2003.0,144.0,0.0
0.0678,8.58,1.8209220146520138,1.475,1.5507455018808343,0.08780625,5.61575,0.110675,5.0175,2003.0,145.0,0.0
0.0699,8.62,1.8907876739926734,1.5725,1.5757475161274797,0.09001875000000001,5.755875,0.1151725,5.131,2003.0,146.0,0.0
0.0714,8.65,1.959232967032967,1.642,1.598309108857045,0.09113750000000001,5.842625,0.1197625,5.1885,2003.0,147.0,0.0
0.072,8.67,2.029197216117216,1.748,1.6207400042835611,0.09225625,5.916,0.12445,5.243499999999999,2003.0,148.0,0.0
0.07275,8.71,2.099804761904761,1.831,1.6427463537154905,0.09350625,5.995,0.12985,5.325,2003.0,149.0,0.0
0.0736,8.73,2.164604194139193,1.903,1.6599631133879496,0.097375,6.078125,0.13585,5.38925,2003.0,150.0,0.0
0.0746,8.75,2.2338344322344312,1.9855,1.6790640614435552,0.098985,6.139375,0.14505,5.447,2003.0,151.0,0.0
0.07574,8.77,2.3034457875457877,2.068,1.6975779443692744,0.10128875,6.1925,0.150425,5.49425,2003.0,152.0,0.0
0.0771,8.8,2.372432912087913,2.159,1.7149474122654884,0.10603749999999999,6.234249999999999,0.163375,5.559,2003.0,153.0,0.0
0.07855,8.82,2.438150842490842,2.233,1.729725108141166,0.11061,6.294375,0.18185,5.61725,2003.0,154.0,0.0
0.08014,8.836,2.504878003663,2.3280000000000003,1.7444431057878818,0.1156025,6.374125,0.19194999999999998,5.66025,2003.0,155.0,0.0
0.0821,8.86,2.5720199267399266,2.418,1.7590096889691476,0.121565,6.449875,0.20642500000000003,5.7044999999999995,2003.0,156.0,0.0
0.0844,8.9,2.6387908974358987,2.492,1.7729493392795677,0.129225,6.4937499999999995,0.2227,5.78325,2003.0,157.0,0.0
0.0872,8.93,2.700293937728937,2.5709999999999997,1.7833888584898547,0.13692500000000002,6.52275,0.239325,5.94975,2003.0,158.0,0.0
0.0882,8.97,2.762803388278388,2.645,1.7939985873913775,0.1447375,6.574249999999999,0.2573,6.007,2003.0,159.0,0.0
0.08856,9.0,2.8226466849816845,2.7199999999999998,1.8029320176768222,0.150875,6.618125,0.275225,6.135999999999999,2003.0,160.0,0.0
0.08905,9.04,2.8837576007325962,2.8105,1.81228969945147,0.1643625,6.68125,0.292025,6.2265,2003.0,161.0,0.0
0.0897,9.08,2.944553021978018,2.872,1.8213340605447401,0.18205,6.727125,0.31085,6.2755,2003.0,162.0,0.0
0.0906,9.12,3.0034367948717957,2.949,1.82936768497004,0.1982875,6.785,0.32389999999999997,6.324,2003.0,163.0,0.0
0.0917,9.164,3.0628917032967027,2.989,1.8377587009521539,0.2109,6.913125,0.347825,6.3732500000000005,2003.0,164.0,0.0
0.0932,9.21,3.1222489194139196,3.0665,1.8459854956517978,0.2244875,6.99425,0.36355000000000004,6.4075,2003.0,165.0,0.0
0.0941,9.266,3.1796066849816835,3.1425,1.85381756378912,0.23965,7.077625,0.389475,6.445,2003.0,166.0,0.0
0.09485,9.31,3.2377509157509174,3.183,1.8620728045362933,0.25816249999999996,7.2125,0.404575,6.4875,2003.0,167.0,0.0
0.0958,9.36,3.293143992673996,3.242,1.8693870031902677,0.28154999999999997,7.317375,0.4269,6.52525,2003.0,168.0,0.0
0.097,9.414,3.3492108791208812,3.2925,1.8773619956351002,0.3030125,7.3965,0.4625,6.577500000000001,2003.0,169.0,0.0
0.09845,9.46,3.403350091575089,3.3605,1.8845802922679047,0.323375,7.433,0.4914,6.61275,2003.0,170.0,0.0
0.1003,9.516,3.4544426190476196,3.4139999999999997,1.8908304466387424,0.335175,7.46875,0.512,6.649,2003.0,171.0,0.0
0.1008,9.55,3.5008967032967075,3.4619999999999997,1.8952995803932036,0.3434375,7.4975,0.5580750000000001,6.684,2003.0,172.0,0.0
0.10095,9.58,3.5460755494505496,3.4850000000000003,1.899805852860134,0.3535,7.525625,0.58535,6.735,2003.0,173.0,0.0
0.1011,9.61,3.589139560439562,3.5255,1.9037167187910533,0.364175,7.553,0.608025,6.766,2003.0,174.0,0.0
0.1013,9.64,3.631492857142859,3.5585,1.9078308528500367,0.380125,7.579375,0.633625,6.79925,2003.0,175.0,0.0
0.1017,9.68,3.675635842490843,3.59,1.9130752537294604,0.4023875,7.610125,0.661375,6.845,2003.0,176.0,0.0
0.1022,9.766,3.7189855311355315,3.616,1.918379701189798,0.44158749999999997,7.6405,0.7032499999999999,6.89525,2003.0,177.0,0.0
0.10284,9.93,3.761394578754576,3.648,1.9237099488388476,0.4628,7.67125,0.7162499999999999,6.95275,2003.0,178.0,0.0
0.1038,10.08,3.8028311355311364,3.685,1.9287663750311537,0.4764375,7.7575,0.7536499999999999,7.047499999999999,2003.0,179.0,0.0
0.10516,10.22,3.842973553113552,3.706,1.9337891504294693,0.48876250000000004,7.864999999999999,0.788,7.077999999999999,2003.0,180.0,0.0
0.107,10.35,3.881242307692311,3.754,1.9383645535085798,0.4886875,7.945625000000001,0.8125,7.114,2003.0,181.0,0.0
0.10956,10.48,3.9201850915750867,3.7960000000000003,1.9435559454887026,0.4885,7.9785,0.824075,7.168,2003.0,182.0,0.0
0.113,10.6,3.9581772893772893,3.828,1.9488138335960647,0.499025,8.0425,0.864125,7.218,2003.0,183.0,0.0
0.1176,10.71,3.9919857142857187,3.872,1.9528750183981607,0.5284,8.15375,0.90705,7.260999999999999,2003.0,184.0,0.0
0.1237,10.82,4.0255945054945075,3.923,1.9570373135930352,0.5660000000000001,8.185,0.939325,7.2924999999999995,2003.0,185.0,0.0
0.1318,10.914,4.0566153846153865,3.955,1.9605042443539495,0.6189875,8.208125,0.98525,7.351,2003.0,186.0,0.0
0.1425,11.01,4.085012087912084,3.981,1.963514790687381,0.638625,8.22525,0.995,7.37625,2003.0,187.0,0.0
0.1458,11.09,4.1119183150183085,4.02,1.9661866241683268,0.650375,8.24,1.0227499999999998,7.39625,2003.0,188.0,0.0
0.1456,11.17,4.137990109890113,4.045,1.9688499005725588,0.6501875,8.24975,1.05375,7.41625,2003.0,189.0,0.0
0.1455,11.25,4.166856410256411,4.064,1.972927238191354,0.6508875000000001,8.265,1.0787499999999999,7.44,2003.0,190.0,0.0
0.1454,11.32,4.190644322344318,4.083,1.9750871175060476,0.6511250000000001,8.270624999999999,1.09375,7.45825,2003.0,191.0,0.0
0.1451,11.39,4.213856043956045,4.0969999999999995,1.9774999498741832,0.6530625,8.30725,1.10775,7.47625,2003.0,192.0,0.0
0.1449,11.45,4.239556410256411,4.1165,1.9807002953605575,0.688875,8.34125,1.1207500000000001,7.503,2003.0,193.0,0.0
0.1445,11.52,4.2631379120879105,4.1365,1.9834485519909264,0.7498374999999999,8.3675,1.162,7.53375,2003.0,194.0,0.0
0.1442,11.586,4.286629853479853,4.176,1.9866568854904882,0.765575,8.40375,1.19625,7.5675,2003.0,195.0,0.0
0.1437,11.64,4.307157142857142,4.1985,1.9886662758103006,0.7714375,8.43,1.22625,7.5845,2003.0,196.0,0.0
0.1432,11.695,4.3282926739926735,4.2065,1.9911334143231851,0.7783749999999999,8.45375,1.2345,7.61525,2003.0,197.0,0.0
0.1425,11.75,4.349409157509153,4.2325,1.9940367531576517,0.7846249999999999,8.484,1.2570000000000001,7.6545,2003.0,198.0,0.0
0.1416,11.805,4.368259340659347,4.254,1.9961726753172524,0.8251875,8.51225,1.296125,7.68,2003.0,199.0,0.0
0.1406,11.85,4.387173260073257,4.282500000000001,1.9985034101692136,0.8461125,8.473749999999999,1.3107499999999999,7.705,2003.0,200.0,0.0
