min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.4023,0.23587307692307677,0.23825000000000002,0.07245787810518604,0.1329,0.3640125,0.134,0.350825,2004.0,145.0,12.0
0.1326,0.4019,0.23620201465201449,0.2387,0.07253622780761061,0.1329,0.3640125,0.134,0.350975,2004.0,145.0,13.0
0.1326,0.4,0.2379567765567766,0.2417,0.07295676085184989,0.1329625,0.3639375,0.134,0.351275,2004.0,145.0,14.0
0.1326,0.3972,0.24162399267399243,0.24814999999999998,0.07393317135741628,0.1329625,0.3652,0.1342,0.35295,2004.0,145.0,15.0
0.1326,0.395,0.24780347985348003,0.25744999999999996,0.07556411802451306,0.133,0.3675,0.134325,0.3573,2004.0,145.0,16.0
0.1326,0.394,0.2571611721611721,0.27225,0.07766657501753114,0.13318750000000001,0.3731875,0.134675,0.36175,2004.0,145.0,17.0
0.1326,0.3977,0.2703331501831502,0.294,0.07950668392630408,0.1333625,0.3799,0.135625,0.369475,2004.0,145.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,145.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,145.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,145.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,145.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,145.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,6.0
